date,mean_t,mean_t_qi,mean_t_hn,max_t,max_t_qi,max_t_hn,min_t,min_t_qi,min_t_hn,sum_rf,sum_rf_ni,sum_rf_qi,sum_rf_hn,dh,dh_ni,dh_qi,dh_hn,sum_sf,sum_sf_ni,sum_sf_qi,sum_sf_hn,mean_ws,mean_ws_qi,mean_ws_hn,most_wd,most_wd_qi,most_wd_hn,mean_h,mean_h_qi,mean_h_hn,mean_p,mean_p_qi,mean_p_hn,mean_cc,mean_cc_qi,mean_cc_hn,gwc_day,gwc_day_qi,gwc_day_hn,gwc_night,gwc_night_qi,gwc_night_hn
1961/2/28,5.1,8,1,11.7,8,1,-1.2,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,2.0,8,1,,0,1,53,8,1,1026.0,8,1,0.0,8,1,,8,1,,8,1
1961/3/1,8.5,8,1,15.3,8,1,-0.4,8,1,0,1,8,1,9.9,0,8,1,0,1,8,1,2.1,8,1,,0,1,58,8,1,1029.6,8,1,1.8,8,1,,8,1,,8,1
1962/2/1,5.4,8,1,11.5,8,1,0.5,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,4.1,8,1,,0,1,44,8,1,1020.8,8,1,0.0,8,1,,8,1,,8,1
1962/2/2,5.3,8,1,11.2,8,1,-0.1,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,3.4,8,1,,0,1,44,8,1,1022.4,8,1,3.3,8,1,,8,1,,8,1
1962/2/3,4.5,8,1,10.0,8,1,-0.3,8,1,0,1,8,1,8.7,0,8,1,0,1,8,1,2.0,8,1,,0,1,47,8,1,1021.0,8,1,3.8,8,1,,8,1,,8,1
1962/2/4,4.6,8,1,10.9,8,1,-1.1,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,2.1,8,1,,0,1,48,8,1,1022.8,8,1,0.0,8,1,,8,1,,8,1
1962/2/5,5.2,8,1,10.9,8,1,0.0,8,1,0,1,8,1,6.4,0,8,1,0,1,8,1,2.2,8,1,,0,1,56,8,1,1020.5,8,1,2.5,8,1,,8,1,,8,1
1962/2/6,5.5,8,1,13.6,8,1,-1.9,8,1,0,1,8,1,7.8,0,8,1,0,1,8,1,2.8,8,1,,0,1,47,8,1,1015.7,8,1,0.5,8,1,,8,1,,8,1
1962/2/7,4.8,8,1,11.7,8,1,-0.2,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,3.2,8,1,,0,1,37,8,1,1019.4,8,1,1.5,8,1,,8,1,,8,1
1962/2/8,7.4,8,1,15.1,8,1,-1.6,8,1,0.0,0,8,1,9.2,0,8,1,0,1,8,1,2.0,8,1,,0,1,39,8,1,1023.8,8,1,4.8,8,1,,8,1,,8,1
1962/2/9,8.4,8,1,14.2,8,1,4.7,8,1,0,1,8,1,7.3,0,8,1,0,1,8,1,2.0,8,1,,0,1,61,8,1,1022.9,8,1,3.3,8,1,,8,1,,8,1
1962/2/10,8.7,8,1,13.4,8,1,3.6,8,1,0.1,0,8,1,3.2,0,8,1,0,1,8,1,1.7,8,1,,0,1,68,8,1,1020.5,8,1,7.5,8,1,,8,1,,8,1
1962/2/11,14.8,8,1,24.5,8,1,5.5,8,1,0,1,8,1,8.4,0,8,1,0,1,8,1,4.5,8,1,,0,1,55,8,1,1003.5,8,1,6.8,8,1,,8,1,,8,1
1962/2/12,8.3,8,1,11.3,8,1,8.0,8,1,0.0,0,8,1,0.3,0,8,1,0,0,8,1,4.7,8,1,,0,1,35,8,1,1009.0,8,1,7.8,8,1,,8,1,,8,1
1962/2/13,3.9,8,1,8.4,8,1,1.5,8,1,0,1,8,1,7.8,0,8,1,0,1,8,1,4.7,8,1,,0,1,30,8,1,1014.2,8,1,6.8,8,1,,8,1,,8,1
1962/2/14,3.2,8,1,7.8,8,1,-1.4,8,1,0,1,8,1,8.6,0,8,1,0,1,8,1,3.0,8,1,,0,1,44,8,1,1016.1,8,1,3.0,8,1,,8,1,,8,1
1962/2/15,4.2,8,1,11.4,8,1,-2.6,8,1,0,1,8,1,7.1,0,8,1,0,1,8,1,2.4,8,1,,0,1,59,8,1,1006.5,8,1,4.8,8,1,,8,1,,8,1
1962/2/16,3.6,8,1,8.7,8,1,-0.9,8,1,0,1,8,1,7.2,0,8,1,0,1,8,1,2.8,8,1,,0,1,47,8,1,1011.1,8,1,0.0,8,1,,8,1,,8,1
1962/2/17,4.2,8,1,10.0,8,1,-0.2,8,1,0,1,8,1,7.7,0,8,1,0,1,8,1,2.4,8,1,,0,1,42,8,1,1014.6,8,1,4.3,8,1,,8,1,,8,1
1962/2/18,5.9,8,1,15.0,8,1,-1.8,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,2.8,8,1,,0,1,56,8,1,1008.9,8,1,0.0,8,1,,8,1,,8,1
1962/2/19,6.7,8,1,14.0,8,1,-0.5,8,1,0,1,8,1,8.6,0,8,1,0,1,8,1,3.9,8,1,,0,1,35,8,1,1005.2,8,1,2.8,8,1,,8,1,,8,1
1962/2/20,5.8,8,1,11.9,8,1,0.5,8,1,0,1,8,1,9.9,0,8,1,0,1,8,1,3.0,8,1,,0,1,38,8,1,1008.6,8,1,0.0,8,1,,8,1,,8,1
1962/2/21,8.4,8,1,17.1,8,1,-0.3,8,1,0,1,8,1,10.4,0,8,1,0,1,8,1,3.7,8,1,,0,1,41,8,1,1005.9,8,1,0.0,8,1,,8,1,,8,1
1962/2/22,6.1,8,1,10.7,8,1,0.6,8,1,0.1,0,8,1,6.9,0,8,1,0,1,8,1,2.2,8,1,,0,1,49,8,1,1012.1,8,1,5.3,8,1,,8,1,,8,1
1962/2/23,6.2,8,1,8.9,8,1,3.6,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,2.8,8,1,,0,1,65,8,1,1009.9,8,1,10.0,8,1,,8,1,,8,1
1962/2/24,7.9,8,1,12.5,8,1,3.9,8,1,0,1,8,1,7.0,0,8,1,0,1,8,1,2.7,8,1,,0,1,47,8,1,1009.5,8,1,9.3,8,1,,8,1,,8,1
1962/2/25,4.6,8,1,7.0,8,1,3.7,8,1,12.7,0,8,1,0,1,8,1,0,1,8,1,3.0,8,1,,0,1,57,8,1,1011.8,8,1,10.0,8,1,,8,1,,8,1
1962/2/26,3.2,8,1,6.0,8,1,0.8,8,1,0.6,0,8,1,0,1,8,1,0,0,8,1,2.5,8,1,,0,1,77,8,1,1004.5,8,1,7.5,8,1,,8,1,,8,1
1962/2/27,4.3,8,1,9.3,8,1,0.1,8,1,0,1,8,1,7.2,0,8,1,0,1,8,1,3.8,8,1,,0,1,40,8,1,1013.9,8,1,5.0,8,1,,8,1,,8,1
1962/2/28,5.2,8,1,10.3,8,1,-0.8,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,2.5,8,1,,0,1,45,8,1,1019.5,8,1,2.8,8,1,,8,1,,8,1
1962/3/1,4.3,8,1,7.6,8,1,2.0,8,1,7.8,0,8,1,1.8,0,8,1,0,1,8,1,2.4,8,1,,0,1,67,8,1,1016.7,8,1,8.5,8,1,,8,1,,8,1
1963/2/1,3.0,8,1,8.7,8,1,-2.0,8,1,0,1,8,1,7.6,0,8,1,0,1,8,1,2.5,8,1,,0,1,42,8,1,1006.6,8,1,3.8,8,1,,8,1,,8,1
1963/2/2,3.9,8,1,10.4,8,1,-4.1,8,1,1.7,0,8,1,9.0,0,8,1,0,1,8,1,1.6,8,1,,0,1,43,8,1,1012.2,8,1,2.5,8,1,,8,1,,8,1
1963/2/3,1.7,8,1,3.9,8,1,0.8,8,1,3.4,0,8,1,0,1,8,1,0,0,8,1,3.1,8,1,,0,1,88,8,1,1006.4,8,1,10.0,8,1,,8,1,,8,1
1963/2/4,2.1,8,1,7.3,8,1,-2.8,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,1.8,8,1,,0,1,72,8,1,1008.7,8,1,0.0,8,1,,8,1,,8,1
1963/2/5,4.1,8,1,10.3,8,1,-1.5,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,3.8,8,1,,0,1,49,8,1,1013.9,8,1,2.0,8,1,,8,1,,8,1
1963/2/6,4.4,8,1,9.5,8,1,0.0,8,1,0,1,8,1,7.4,0,8,1,0,1,8,1,2.8,8,1,,0,1,42,8,1,1019.4,8,1,5.8,8,1,,8,1,,8,1
1963/2/7,4.8,8,1,10.6,8,1,-1.3,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,2.8,8,1,,0,1,37,8,1,1022.4,8,1,3.5,8,1,,8,1,,8,1
1963/2/8,4.6,8,1,9.5,8,1,2.2,8,1,10.5,0,8,1,3.2,0,8,1,0,1,8,1,2.4,8,1,,0,1,54,8,1,1019.3,8,1,10.0,8,1,,8,1,,8,1
1963/2/9,5.4,8,1,11.1,8,1,1.3,8,1,0,1,8,1,9.1,0,8,1,0,0,8,1,4.7,8,1,,0,1,57,8,1,1010.5,8,1,5.8,8,1,,8,1,,8,1
1963/2/10,4.9,8,1,9.5,8,1,0.0,8,1,0.2,0,8,1,7.9,0,8,1,0,1,8,1,3.0,8,1,,0,1,44,8,1,1021.2,8,1,4.8,8,1,,8,1,,8,1
1963/2/11,3.5,8,1,5.3,8,1,2.3,8,1,0.5,0,8,1,0,1,8,1,0,1,8,1,3.0,8,1,,0,1,79,8,1,1017.5,8,1,10.0,8,1,,8,1,,8,1
1963/2/12,5.9,8,1,11.3,8,1,2.2,8,1,0,1,8,1,7.5,0,8,1,0,1,8,1,3.1,8,1,,0,1,59,8,1,1007.6,8,1,9.5,8,1,,8,1,,8,1
1963/2/13,4.5,8,1,9.9,8,1,1.5,8,1,0,1,8,1,8.7,0,8,1,0,1,8,1,4.2,8,1,,0,1,43,8,1,1012.0,8,1,3.3,8,1,,8,1,,8,1
1963/2/14,4.7,8,1,10.2,8,1,0.1,8,1,0,1,8,1,9.9,0,8,1,0,1,8,1,3.9,8,1,,0,1,36,8,1,1022.2,8,1,0.0,8,1,,8,1,,8,1
1963/2/15,4.8,8,1,9.9,8,1,-1.8,8,1,0,1,8,1,5.7,0,8,1,0,1,8,1,1.7,8,1,,0,1,52,8,1,1022.9,8,1,5.0,8,1,,8,1,,8,1
1963/2/16,6.4,8,1,13.7,8,1,2.1,8,1,0,1,8,1,7.2,0,8,1,0,1,8,1,3.0,8,1,,0,1,41,8,1,1016.9,8,1,8.0,8,1,,8,1,,8,1
1963/2/17,5.1,8,1,9.7,8,1,2.2,8,1,0.0,0,8,1,3.8,0,8,1,0,0,8,1,3.6,8,1,,0,1,38,8,1,1019.1,8,1,7.8,8,1,,8,1,,8,1
1963/2/18,4.2,8,1,9.7,8,1,1.9,8,1,0,1,8,1,8.8,0,8,1,0,1,8,1,5.1,8,1,,0,1,29,8,1,1015.2,8,1,2.8,8,1,,8,1,,8,1
1963/2/19,4.0,8,1,9.8,8,1,-3.7,8,1,0,1,8,1,8.1,0,8,1,0,1,8,1,2.3,8,1,,0,1,38,8,1,1013.9,8,1,2.0,8,1,,8,1,,8,1
1963/2/20,4.7,8,1,10.9,8,1,-1.7,8,1,0,1,8,1,9.9,0,8,1,0,1,8,1,3.5,8,1,,0,1,33,8,1,1015.5,8,1,0.0,8,1,,8,1,,8,1
1963/2/21,5.7,8,1,11.6,8,1,1.9,8,1,0,1,8,1,7.2,0,8,1,0,1,8,1,2.4,8,1,,0,1,33,8,1,1018.8,8,1,7.5,8,1,,8,1,,8,1
1963/2/22,5.4,8,1,10.9,8,1,1.1,8,1,0,1,8,1,5.7,0,8,1,0,1,8,1,2.9,8,1,,0,1,49,8,1,1014.4,8,1,6.0,8,1,,8,1,,8,1
1963/2/23,6.8,8,1,12.3,8,1,1.9,8,1,0,1,8,1,8.2,0,8,1,0,1,8,1,2.8,8,1,,0,1,59,8,1,1013.0,8,1,3.8,8,1,,8,1,,8,1
1963/2/24,6.1,8,1,15.3,8,1,0.0,8,1,0,1,8,1,7.1,0,8,1,0,1,8,1,3.1,8,1,,0,1,58,8,1,1003.5,8,1,3.3,8,1,,8,1,,8,1
1963/2/25,5.9,8,1,12.8,8,1,0.4,8,1,0,1,8,1,10.3,0,8,1,0,1,8,1,4.6,8,1,,0,1,34,8,1,1009.1,8,1,4.8,8,1,,8,1,,8,1
1963/2/26,5.1,8,1,9.5,8,1,2.0,8,1,5.0,0,8,1,3.3,0,8,1,0,1,8,1,3.2,8,1,,0,1,54,8,1,1006.0,8,1,9.3,8,1,,8,1,,8,1
1963/2/27,5.7,8,1,12.5,8,1,0.2,8,1,0.0,0,8,1,7.4,0,8,1,0,1,8,1,2.6,8,1,,0,1,47,8,1,1000.5,8,1,5.8,8,1,,8,1,,8,1
1963/2/28,7.0,8,1,13.3,8,1,0.8,8,1,0,1,8,1,9.3,0,8,1,0,1,8,1,2.9,8,1,,0,1,43,8,1,1009.4,8,1,1.3,8,1,,8,1,,8,1
1963/3/1,7.8,8,1,17.8,8,1,-1.1,8,1,0,1,8,1,10.3,0,8,1,0,1,8,1,2.5,8,1,,0,1,39,8,1,1004.4,8,1,2.8,8,1,,8,1,,8,1
1964/2/1,6.2,8,1,10.8,8,1,2.8,8,1,3.7,0,8,1,2.9,0,8,1,0,1,8,1,2.5,8,1,,0,1,67,8,1,1003.4,8,1,7.5,8,1,,8,1,,8,1
1964/2/2,4.6,8,1,10.5,8,1,-2.0,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,3.0,8,1,,0,1,50,8,1,1006.2,8,1,0.3,8,1,,8,1,,8,1
1964/2/3,4.3,8,1,8.6,8,1,0.2,8,1,0,1,8,1,9.4,0,8,1,0,1,8,1,4.1,8,1,,0,1,38,8,1,1016.7,8,1,2.3,8,1,,8,1,,8,1
1964/2/4,3.1,8,1,7.6,8,1,-0.2,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,4.6,8,1,,0,1,36,8,1,1021.4,8,1,2.0,8,1,,8,1,,8,1
1964/2/5,3.0,8,1,7.0,8,1,0.0,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,5.2,8,1,,0,1,38,8,1,1025.6,8,1,5.0,8,1,,8,1,,8,1
1964/2/6,5.5,8,1,10.6,8,1,0.5,8,1,0,1,8,1,6.9,0,8,1,0,1,8,1,2.6,8,1,,0,1,41,8,1,1028.0,8,1,5.3,8,1,,8,1,,8,1
1964/2/7,6.7,8,1,12.4,8,1,2.3,8,1,0.1,0,8,1,5.7,0,8,1,0,1,8,1,2.2,8,1,,0,1,65,8,1,1019.3,8,1,8.0,8,1,,8,1,,8,1
1964/2/8,5.1,8,1,6.7,8,1,3.9,8,1,8.2,0,8,1,0,1,8,1,0,1,8,1,2.3,8,1,,0,1,80,8,1,1022.4,8,1,10.0,8,1,,8,1,,8,1
1964/2/9,2.1,8,1,4.2,8,1,1.0,8,1,18.6,0,8,1,0,1,8,1,0,0,8,1,3.5,8,1,,0,1,92,8,1,1020.4,8,1,10.0,8,1,,8,1,,8,1
1964/2/10,4.1,8,1,6.2,8,1,2.1,8,1,12.5,0,8,1,0,1,8,1,0,1,8,1,4.5,8,1,,0,1,90,8,1,1012.2,8,1,7.5,8,1,,8,1,,8,1
1964/2/11,3.3,8,1,7.1,8,1,0.2,8,1,4.9,0,8,1,1.4,0,8,1,0,1,8,1,1.7,8,1,,0,1,90,8,1,1009.7,8,1,8.0,8,1,,8,1,,8,1
1964/2/12,3.7,8,1,9.1,8,1,-0.2,8,1,0,1,8,1,10.0,0,8,1,0,1,8,1,4.1,8,1,,0,1,45,8,1,1006.2,8,1,0.0,8,1,,8,1,,8,1
1964/2/13,2.3,8,1,7.3,8,1,-2.4,8,1,0,1,8,1,9.8,0,8,1,0,1,8,1,3.7,8,1,,0,1,44,8,1,1017.7,8,1,0.3,8,1,,8,1,,8,1
1964/2/14,3.4,8,1,8.7,8,1,-1.8,8,1,0,1,8,1,8.9,0,8,1,0,1,8,1,2.8,8,1,,0,1,35,8,1,1018.8,8,1,0.3,8,1,,8,1,,8,1
1964/2/15,4.6,8,1,10.1,8,1,0.1,8,1,0,1,8,1,7.3,0,8,1,0,1,8,1,3.4,8,1,,0,1,40,8,1,1020.5,8,1,6.5,8,1,,8,1,,8,1
1964/2/16,6.7,8,1,12.4,8,1,1.8,8,1,0,1,8,1,9.0,0,8,1,0,1,8,1,3.0,8,1,,0,1,44,8,1,1018.4,8,1,5.0,8,1,,8,1,,8,1
1964/2/17,6.6,8,1,12.6,8,1,2.6,8,1,0,1,8,1,5.6,0,8,1,0,1,8,1,4.2,8,1,,0,1,46,8,1,1012.5,8,1,6.8,8,1,,8,1,,8,1
1964/2/18,1.5,8,1,3.9,8,1,0.0,8,1,4.1,0,8,1,0,1,8,1,5,0,8,1,3.6,8,1,,0,1,63,8,1,1020.7,8,1,10.0,8,1,,8,1,,8,1
1964/2/19,3.9,8,1,6.6,8,1,0.1,8,1,0.0,0,8,1,4.8,0,8,1,0,0,8,1,2.2,8,1,,0,1,61,8,1,1021.7,8,1,7.5,8,1,,8,1,,8,1
1964/2/20,5.7,8,1,10.3,8,1,2.6,8,1,0.2,0,8,1,2.1,0,8,1,0,1,8,1,2.9,8,1,,0,1,72,8,1,1017.5,8,1,10.0,8,1,,8,1,,8,1
1964/2/21,3.2,8,1,4.9,8,1,1.3,8,1,0.0,0,8,1,0.2,0,8,1,0,0,8,1,3.2,8,1,,0,1,61,8,1,1020.5,8,1,10.0,8,1,,8,1,,8,1
1964/2/22,4.8,8,1,9.5,8,1,2.0,8,1,0.0,0,8,1,1.7,0,8,1,0,0,8,1,3.2,8,1,,0,1,62,8,1,1022.8,8,1,10.0,8,1,,8,1,,8,1
1964/2/23,4.0,8,1,8.0,8,1,1.4,8,1,0,1,8,1,6.8,0,8,1,0,0,8,1,4.5,8,1,,0,1,42,8,1,1027.1,8,1,7.3,8,1,,8,1,,8,1
1964/2/24,1.7,8,1,4.6,8,1,-0.2,8,1,2.8,0,8,1,0,1,8,1,1,0,8,1,3.5,8,1,,0,1,53,8,1,1029.2,8,1,10.0,8,1,,8,1,,8,1
1964/2/25,1.5,8,1,3.6,8,1,-1.0,8,1,8.5,0,8,1,0,1,8,1,4,0,8,1,6.1,8,1,,0,1,86,8,1,1022.2,8,1,10.0,8,1,,8,1,,8,1
1964/2/26,4.6,8,1,8.4,8,1,1.6,8,1,0.0,0,8,1,6.8,0,8,1,0,0,8,1,3.4,8,1,,0,1,53,8,1,1025.7,8,1,7.5,8,1,,8,1,,8,1
1964/2/27,4.7,8,1,8.6,8,1,0.1,8,1,0.4,0,8,1,4.4,0,8,1,0,1,8,1,2.2,8,1,,0,1,60,8,1,1022.9,8,1,9.0,8,1,,8,1,,8,1
1964/2/28,5.2,8,1,10.3,8,1,1.2,8,1,0.0,0,8,1,10.2,0,8,1,0,1,8,1,5.4,8,1,,0,1,44,8,1,1018.4,8,1,3.5,8,1,,8,1,,8,1
1964/2/29,5.3,8,1,11.4,8,1,-0.2,8,1,0,1,8,1,9.6,0,8,1,0,1,8,1,2.8,8,1,,0,1,34,8,1,1022.9,8,1,2.5,8,1,,8,1,,8,1
1965/2/1,5.1,8,1,9.7,8,1,1.7,8,1,0,1,8,1,6.4,0,8,1,0,1,8,1,5.0,8,2,,0,1,51,8,1,1004.8,8,1,7.3,8,1,,8,1,,8,1
1965/2/2,3.3,8,1,9.3,8,1,-1.3,8,1,0.0,0,8,1,5.0,0,8,1,0,0,8,1,2.9,8,2,,0,1,52,8,1,1001.7,8,1,7.0,8,1,,8,1,,8,1
1965/2/3,0.4,8,1,3.6,8,1,-3.0,8,1,0,1,8,1,9.1,0,8,1,0,1,8,1,3.5,8,2,,0,1,41,8,1,1005.7,8,1,2.5,8,1,,8,1,,8,1
1965/2/4,1.6,8,1,6.2,8,1,-4.7,8,1,0,1,8,1,9.2,0,8,1,0,1,8,1,2.3,8,2,,0,1,47,8,1,1014.5,8,1,0.3,8,1,,8,1,,8,1
1965/2/5,3.7,8,1,8.2,8,1,-1.9,8,1,0.0,0,8,1,6.2,0,8,1,0,1,8,1,2.4,8,2,,0,1,62,8,1,1007.4,8,1,9.0,8,1,,8,1,,8,1
1965/2/6,2.0,8,1,4.2,8,1,-0.7,8,1,,,1,1,1.2,0,8,1,0,0,8,1,4.1,8,2,,0,1,65,8,1,1005.6,8,1,5.0,8,1,,8,1,,8,1
1965/2/7,2.9,8,1,7.6,8,1,-3.1,8,1,0,1,8,1,9.7,0,8,1,0,1,8,1,2.8,8,2,,0,1,67,8,1,1011.2,8,1,0.0,8,1,,8,1,,8,1
1965/2/8,6.9,8,1,12.1,8,1,0.0,8,1,0,1,8,1,9.2,0,8,1,0,1,8,1,2.8,8,2,,0,1,53,8,1,1015.2,8,1,5.8,8,1,,8,1,,8,1
1965/2/9,4.7,8,1,6.9,8,1,3.6,8,1,6.0,0,8,1,0,1,8,1,0,1,8,1,3.7,8,2,,0,1,93,8,1,1008.6,8,1,10.0,8,1,,8,1,,8,1
1965/2/10,7.4,8,1,12.9,8,1,2.8,8,1,0.0,0,8,1,1.9,0,8,1,0,1,8,1,2.8,8,2,,0,1,70,8,1,1005.3,8,1,9.5,8,1,,8,1,,8,1
1965/2/11,4.5,8,1,6.2,8,1,3.9,8,1,0.0,0,8,1,0,1,8,1,0,1,8,1,2.5,8,2,,0,1,64,8,1,1010.1,8,1,10.0,8,1,,8,1,,8,1
1965/2/12,5.1,8,1,10.0,8,1,0.2,8,1,0,1,8,1,9.5,0,8,1,0,1,8,1,5.0,8,2,,0,1,44,8,1,1009.0,8,1,0.3,8,1,,8,1,,8,1
